authorities_contacted authorities_contacted,collision_type collision_type,fraud_reported fraud_reported,incident_severity incident_severity,incident_type incident_type,insured_education_level insured_education_level,insured_occupation insured_occupation,insured_relationship insured_relationship,insured_sex insured_sex,police_report_available police_report_available,policy_csl policy_csl,property_damage property_damage,Risk_Level Risk_Level,Actual Actual,age age,bodily_injuries bodily_injuries,capital-gains capital-gains,capital-loss capital-loss,claim_deviation claim_deviation,claim_ratio claim_ratio,claimscount,Fraud_Probability Fraud_Probability,incident_hour_of_the_day incident_hour_of_the_day,injury_claim injury_claim,months_as_customer months_as_customer,number_of_vehicles_involved number_of_vehicles_involved,policy_age_days policy_age_days,policy_annual_premium policy_annual_premium,policy_deductable policy_deductable,Predicted Predicted,property_claim property_claim,row_count,tetx,total_claim_amount total_claim_amount,umbrella_limit umbrella_limit,vehicle_claim vehicle_claim,witnesses witnesses
Other,Rear Collision,Y,Minor Damage,Multi-vehicle Collision,Masters,farming-fishing,own-child,MALE,YES,250/500,YES,Low Risk,1,25,1,0,-71700,12541.05,6.999029261,1,0.286388006,4,7210,29,4,82,1352.83,2000,1,7210,1,0,64890,0,50470,2
unknown,unknown,N,Trivial Damage,Parked Car,College,machine-op-inspct,wife,FEMALE,YES,250/500,unknown,Low Risk,0,48,1,0,0,-34328.95,3.995560488,1,0.060706143,6,900,295,1,2076,1148.73,1000,0,900,1,0,5400,0,3600,2
unknown,unknown,N,Trivial Damage,Vehicle Theft,College,exec-managerial,not-in-family,MALE,unknown,100/300,NO,Low Risk,0,42,0,0,0,-33728.95,5.991440799,1,0.049758764,10,700,239,1,5607,969.5,1000,0,700,1,0,5600,0,4200,0
Police,Rear Collision,N,Minor Damage,Single Vehicle Collision,College,protective-serv,not-in-family,FEMALE,unknown,100/300,YES,Low Risk,0,41,0,0,-72300,9651.05,2.999810857,1,0.189721349,23,15860,269,1,8863,1463.82,500,0,15860,1,0,79300,0,47580,0
Police,Side Collision,N,Major Damage,Single Vehicle Collision,College,tech-support,unmarried,FEMALE,YES,100/300,YES,Medium Risk,0,27,1,0,0,-968.950000000,6.998674493,1,0.435943621,13,10560,80,1,6772,1474.17,1000,1,5280,1,0,52800,0,36960,0
Fire,Front Collision,N,Minor Damage,Multi-vehicle Collision,JD,prof-specialty,husband,FEMALE,NO,250/500,unknown,Low Risk,0,41,2,37300,-31700,-12728.95,6.998056096,1,0.094036552,16,0,279,3,4985,1497.35,500,0,3600,1,0,28800,0,25200,3
Police,unknown,N,Minor Damage,Parked Car,Associate,tech-support,other-relative,FEMALE,NO,100/300,NO,Low Risk,0,33,1,35300,-58100,-35618.95,6.978851964,1,0.052557181,3,330,165,1,2884,1427.14,1000,0,330,1,0,2970,0,2310,1
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,College,other-service,wife,MALE,unknown,500/1000,NO,Low Risk,0,54,0,50500,0,32181.05,8.998844821,1,0.157995712,15,15580,350,3,469,1495.1,500,0,7790,1,0,93480,0,70110,0
unknown,unknown,N,Minor Damage,Vehicle Theft,College,prof-specialty,husband,MALE,YES,100/300,YES,Low Risk,0,49,1,34300,-24300,-34568.95,6.985446985,1,0.022287600,4,480,295,1,8237,1141.62,500,0,480,1,0,4320,0,3360,3
Police,Rear Collision,Y,Major Damage,Multi-vehicle Collision,Associate,prof-specialty,husband,FEMALE,YES,500/1000,unknown,Medium Risk,1,61,0,0,-56400,15271.05,2.666533006,1,0.404179415,6,6650,464,3,8864,1125.37,1000,1,19950,1,0,79800,0,53200,2
Ambulance,Front Collision,N,Major Damage,Multi-vehicle Collision,High School,handlers-cleaners,own-child,FEMALE,unknown,500/1000,NO,Low Risk,0,28,1,0,-57000,14011.05,3.499764167,1,0.300765097,22,7420,118,2,8464,1207.36,2000,1,14840,1,0,74200,0,51940,0
Fire,Front Collision,Y,Major Damage,Single Vehicle Collision,PhD,machine-op-inspct,other-relative,FEMALE,unknown,500/1000,unknown,High Risk,1,47,0,28800,0,10941.05,4.499585674,1,0.745246960,1,10860,298,1,5927,1338.5,2000,1,10860,1,0,70590,0,48870,0
Fire,Rear Collision,Y,Major Damage,Multi-vehicle Collision,Masters,sales,husband,FEMALE,YES,500/1000,NO,High Risk,1,31,0,0,-47500,6391.05,3.999639022,1,0.778997964,16,5540,87,3,2041,1074.07,1000,1,11080,1,0,60940,0,44320,3
Police,Rear Collision,N,Minor Damage,Single Vehicle Collision,College,prof-specialty,unmarried,FEMALE,YES,250/500,unknown,Low Risk,0,42,1,0,0,14361.05,3.499765745,1,0.220720233,18,7470,261,1,2192,1337.56,500,1,14940,1,0,74700,0,52290,2
Fire,Front Collision,Y,Major Damage,Single Vehicle Collision,PhD,craft-repair,unmarried,MALE,unknown,100/300,YES,High Risk,1,60,0,52600,-38800,11071.05,6.999000143,1,0.791288239,0,14000,453,1,4312,1298.91,500,1,7000,1,0,70000,6000000,49000,0
Other,Rear Collision,N,Total Loss,Multi-vehicle Collision,High School,exec-managerial,other-relative,MALE,NO,500/1000,unknown,Low Risk,0,41,2,0,-41000,13661.05,3.499762567,1,0.172337268,12,14740,210,3,819,1222.75,500,0,14740,1,0,81070,0,51590,0
Other,Side Collision,N,Major Damage,Multi-vehicle Collision,MD,protective-serv,own-child,MALE,unknown,100/300,unknown,Medium Risk,0,32,1,0,-40600,-4258.95,3.499636212,1,0.528996096,13,14430,168,2,5414,1059.52,1000,1,9620,1,0,57720,0,33670,1
unknown,unknown,N,Minor Damage,Vehicle Theft,Associate,armed-forces,other-relative,MALE,YES,250/500,YES,Low Risk,0,51,1,0,0,-33208.95,3.996613040,1,0.083993759,9,1180,390,1,5627,1124.38,2000,0,1180,1,0,7080,0,4720,1
Other,Side Collision,Y,Total Loss,Multi-vehicle Collision,MD,machine-op-inspct,other-relative,MALE,unknown,100/300,NO,Low Risk,1,46,0,34400,-56800,-4538.95,3.499633162,1,0.220947267,14,4770,258,3,5800,1110.37,1000,1,9540,1,0,47700,10000000,33390,1
Police,Rear Collision,N,Minor Damage,Single Vehicle Collision,PhD,machine-op-inspct,other-relative,FEMALE,NO,500/1000,NO,Low Risk,0,31,0,62000,-63100,-5308.95,3.499624504,1,0.092701362,16,9320,107,1,8779,1374.22,2000,0,9320,1,0,51260,0,32620,3
Police,Side Collision,Y,Major Damage,Multi-vehicle Collision,High School,exec-managerial,unmarried,MALE,NO,500/1000,unknown,Medium Risk,1,41,2,41200,-36200,13271.05,3.999687524,1,0.664245033,20,6400,225,3,7837,1103.58,2000,1,12800,1,0,70400,0,51200,2
Fire,Rear Collision,N,Minor Damage,Single Vehicle Collision,PhD,transport-moving,not-in-family,FEMALE,YES,250/500,NO,Low Risk,0,38,1,44300,0,25071.05,6.999222309,1,0.235554150,4,18000,164,1,6287,1269.76,2000,1,9000,1,0,90000,0,63000,3
Police,Rear Collision,N,Minor Damage,Multi-vehicle Collision,Associate,adm-clerical,husband,FEMALE,unknown,250/500,unknown,Low Risk,0,39,0,58000,0,15031.05,7.998791723,1,0.184775392,7,13240,245,3,5053,964.79,500,0,6620,1,0,72820,8000000,52960,1
Fire,Side Collision,N,Minor Damage,Single Vehicle Collision,High School,priv-house-serv,other-relative,MALE,unknown,500/1000,NO,Low Risk,0,41,2,0,0,3651.05,2.999783565,1,0.276962557,22,13860,255,1,775,1167.3,2000,1,13860,1,0,69300,4000000,41580,0
Ambulance,Front Collision,Y,Major Damage,Single Vehicle Collision,MD,other-service,other-relative,FEMALE,NO,500/1000,NO,High Risk,1,36,2,0,-53700,13111.05,3.999686545,1,0.719312779,11,12760,206,1,2010,1625.45,500,1,12760,1,0,76560,4000000,51040,1
Ambulance,Front Collision,Y,Major Damage,Single Vehicle Collision,Masters,other-service,not-in-family,FEMALE,YES,250/500,unknown,High Risk,1,38,0,0,0,11351.05,7.998701509,1,0.763240344,7,0,203,1,6189,1394.43,500,1,6160,1,0,55440,0,49280,1
Other,Front Collision,N,Total Loss,Multi-vehicle Collision,College,prof-specialty,other-relative,FEMALE,NO,250/500,YES,Low Risk,0,25,1,51100,0,13491.05,2.999824981,1,0.161111592,0,8570,22,4,2489,1053.24,2000,0,17140,1,0,77130,0,51420,0
Ambulance,Rear Collision,N,Total Loss,Single Vehicle Collision,JD,prof-specialty,not-in-family,FEMALE,unknown,100/300,YES,Low Risk,0,35,1,0,0,-9928.95,3.999428653,1,0.230555859,1,7000,211,1,6741,1040.75,500,1,7000,1,0,42000,0,28000,1
Ambulance,Rear Collision,N,Total Loss,Multi-vehicle Collision,JD,craft-repair,unmarried,MALE,YES,250/500,NO,Low Risk,0,39,2,47200,-69700,-14828.95,2.333097667,1,0.184575325,12,3300,206,3,205,1302.4,1000,0,9900,1,0,36300,6000000,23100,3
Other,Side Collision,N,Total Loss,Single Vehicle Collision,MD,protective-serv,unmarried,MALE,unknown,100/300,NO,Low Risk,0,38,0,59600,-32100,-9128.95,4.999132095,1,0.117494933,8,5760,166,1,8096,1588.55,2000,0,5760,1,0,40320,0,28800,0
Police,unknown,N,Minor Damage,Parked Car,High School,tech-support,own-child,FEMALE,unknown,500/1000,unknown,Low Risk,0,32,2,70500,0,-34958.95,4.493192133,1,0.079335140,9,330,165,1,979,1399.26,500,0,660,1,0,3960,0,2970,0
Fire,Front Collision,Y,Major Damage,Single Vehicle Collision,College,farming-fishing,wife,MALE,YES,100/300,YES,Medium Risk,1,43,0,40700,-47300,4631.05,3.999624095,1,0.634987429,22,10640,274,1,5017,1352.31,2000,1,10640,1,0,63840,0,42560,3
Fire,Front Collision,Y,Major Damage,Multi-vehicle Collision,Masters,sales,husband,FEMALE,unknown,250/500,unknown,Medium Risk,1,28,1,42400,0,-3138.95,6.998591833,1,0.636485663,0,4970,81,3,1215,1139,1000,1,4970,1,0,44730,6000000,34790,2
Other,Front Collision,N,Minor Damage,Multi-vehicle Collision,JD,machine-op-inspct,wife,MALE,NO,250/500,YES,Low Risk,0,45,1,57900,0,18551.05,3.999716734,1,0.292921438,0,14120,280,3,1287,1397.67,1000,1,14120,1,0,84720,0,56480,2
Other,Front Collision,N,Major Damage,Multi-vehicle Collision,Masters,adm-clerical,own-child,MALE,NO,250/500,unknown,Medium Risk,0,39,2,0,0,5121.05,3.499715470,1,0.514691882,3,6150,194,3,3498,823.17,500,1,12300,1,0,61500,0,43050,2
Ambulance,Front Collision,N,Major Damage,Multi-vehicle Collision,Masters,tech-support,unmarried,FEMALE,unknown,100/300,unknown,Low Risk,0,27,0,60000,-54800,-3928.95,3.999529467,1,0.312884792,21,8500,112,3,3414,965.13,500,1,8500,1,0,51000,0,34000,1
Police,Side Collision,N,Total Loss,Single Vehicle Collision,High School,machine-op-inspct,wife,FEMALE,NO,500/1000,unknown,Low Risk,0,33,2,0,-45200,-5168.95,3.499626108,1,0.177120171,0,4680,24,1,6945,1922.84,1000,0,9360,1,0,46800,0,32760,1
Ambulance,Side Collision,N,Minor Damage,Single Vehicle Collision,PhD,exec-managerial,unmarried,MALE,unknown,250/500,unknown,Low Risk,0,32,1,65300,-65600,14151.05,5.999308835,1,0.235231942,16,17360,93,1,3420,1624.82,2000,1,8680,1,0,78120,0,52080,1
Police,Rear Collision,Y,Major Damage,Single Vehicle Collision,College,exec-managerial,other-relative,FEMALE,unknown,250/500,NO,High Risk,1,34,1,84900,0,10511.05,6.998988585,1,0.765154750,14,13840,171,1,6544,1277.25,2000,1,6920,1,0,69200,0,48440,2
Police,unknown,N,Minor Damage,Vehicle Theft,High School,sales,other-relative,FEMALE,NO,100/300,unknown,Low Risk,0,40,0,45300,-20400,-35058.95,6.982968370,1,0.057500870,9,410,200,1,1696,1439.34,1000,0,410,1,0,3690,0,2870,0
Fire,Rear Collision,N,Minor Damage,Multi-vehicle Collision,PhD,tech-support,not-in-family,FEMALE,unknown,250/500,NO,Low Risk,0,28,0,68900,0,14471.05,7.998778812,1,0.173813559,9,6550,120,3,2161,1281.27,1000,0,6550,1,0,65500,0,52400,3
Fire,Rear Collision,N,Minor Damage,Multi-vehicle Collision,High School,prof-specialty,wife,FEMALE,YES,500/1000,unknown,Low Risk,0,46,1,46300,-77500,17431.05,7.998844098,1,0.296309991,21,13840,325,3,572,1348.83,500,1,6920,1,0,76120,0,55360,2
Other,Front Collision,N,Total Loss,Multi-vehicle Collision,MD,other-service,not-in-family,FEMALE,YES,250/500,NO,Low Risk,0,32,0,0,-43200,11111.05,3.999673762,1,0.381769165,19,12260,124,3,8295,1198.15,1000,1,12260,1,0,73560,0,49040,2
Police,Rear Collision,N,Total Loss,Single Vehicle Collision,Masters,machine-op-inspct,other-relative,MALE,unknown,100/300,YES,Low Risk,0,35,0,76000,0,-88.950000000,7.998309026,1,0.173386809,2,9460,211,1,6163,1221.22,2000,0,4730,1,0,52030,0,37840,1
unknown,unknown,N,Trivial Damage,Vehicle Theft,Masters,transport-moving,wife,MALE,unknown,500/1000,unknown,Low Risk,0,41,2,0,-49000,-34168.95,3.995749203,1,0.049220904,9,470,287,1,3948,968.74,2000,0,940,1,0,5170,0,3760,3
unknown,unknown,N,Minor Damage,Parked Car,PhD,machine-op-inspct,own-child,MALE,YES,250/500,unknown,Low Risk,0,34,2,58600,-28700,-32888.95,3.996827914,1,0.085751498,5,1890,122,1,3193,1220.71,1000,0,1260,1,0,8190,0,5040,1
Ambulance,Rear Collision,Y,Major Damage,Single Vehicle Collision,MD,exec-managerial,other-relative,MALE,unknown,250/500,unknown,High Risk,1,29,2,0,-56200,11631.05,3.499752842,1,0.797619016,14,7080,22,1,7556,1238.62,2000,1,14160,1,0,70800,6000000,49560,3
Police,Rear Collision,N,Total Loss,Multi-vehicle Collision,JD,farming-fishing,wife,FEMALE,YES,500/1000,unknown,Low Risk,0,31,0,54100,0,-2438.95,6.998619602,1,0.210835707,20,5070,106,3,6198,1320.75,2000,1,5070,1,0,45630,0,35490,3
Police,Front Collision,Y,Major Damage,Single Vehicle Collision,Associate,exec-managerial,wife,FEMALE,unknown,100/300,YES,High Risk,1,58,2,0,-57900,38471.05,4.999672796,1,0.769995309,18,7640,398,1,5191,990.98,500,1,15280,1,0,99320,0,76400,1
Fire,Side Collision,Y,Major Damage,Multi-vehicle Collision,Masters,tech-support,not-in-family,MALE,NO,500/1000,unknown,Medium Risk,1,41,2,0,-57100,6871.05,6.998906421,1,0.699624548,13,12800,214,3,3752,1398.51,500,1,6400,1,0,64000,4000000,44800,0
Fire,Front Collision,N,Minor Damage,Single Vehicle Collision,MD,other-service,other-relative,FEMALE,unknown,100/300,unknown,Low Risk,0,38,1,58100,0,-88.950000000,7.998309026,1,0.222074296,21,4730,209,1,1898,1355.08,500,1,4730,1,0,47300,0,37840,1
Other,Rear Collision,Y,Major Damage,Single Vehicle Collision,PhD,adm-clerical,not-in-family,MALE,unknown,100/300,NO,High Risk,1,27,2,13100,-38200,15831.05,5.999330432,1,0.752388149,14,8960,82,1,6724,1384.51,1000,1,8960,1,0,71680,0,53760,3
Other,Side Collision,Y,Major Damage,Single Vehicle Collision,JD,craft-repair,not-in-family,FEMALE,YES,250/500,unknown,High Risk,1,41,1,0,0,39831.05,4.499739598,1,0.712073894,1,17280,193,1,7147,847.03,500,1,17280,1,0,112320,0,77760,0
Other,Side Collision,N,Total Loss,Single Vehicle Collision,PhD,farming-fishing,wife,FEMALE,unknown,100/300,unknown,Low Risk,0,32,1,0,0,22231.05,3.999734060,1,0.323599037,17,7520,134,1,4962,1000.06,1000,1,15040,1,0,82720,0,60160,0
Fire,Rear Collision,N,Major Damage,Multi-vehicle Collision,Masters,priv-house-serv,husband,MALE,unknown,100/300,unknown,Medium Risk,0,45,2,0,0,-5888.95,5.998876615,1,0.417801650,4,10680,288,3,4527,1046.71,1000,1,5340,1,0,48060,0,32040,1
Police,Rear Collision,Y,Total Loss,Multi-vehicle Collision,High School,exec-managerial,own-child,MALE,YES,250/500,YES,Medium Risk,1,32,1,31900,-44600,6081.05,4.499539924,1,0.677551916,23,9780,104,3,6387,1158.03,500,1,9780,1,0,63570,0,44010,3
Fire,Rear Collision,N,Total Loss,Multi-vehicle Collision,Masters,craft-repair,own-child,FEMALE,unknown,100/300,NO,Low Risk,0,54,2,17600,0,4231.05,3.999620529,1,0.235708444,13,10540,431,3,7363,1372.27,1000,1,10540,1,0,63240,0,42160,3
Ambulance,Rear Collision,Y,Minor Damage,Multi-vehicle Collision,Masters,other-service,own-child,FEMALE,unknown,100/300,NO,Low Risk,1,33,1,52000,-44500,-1768.95,3.999557571,1,0.195001201,20,9040,101,3,976,1053.04,1000,0,9040,1,0,54240,7000000,36160,3
Police,Front Collision,Y,Major Damage,Single Vehicle Collision,Associate,sales,other-relative,MALE,NO,100/300,YES,High Risk,1,50,2,0,0,-648.950000000,37280,1,0.738942423,16,0,375,1,2916,1275.39,1000,1,0,1,0,37280,0,37280,3
Police,Rear Collision,N,Minor Damage,Multi-vehicle Collision,JD,exec-managerial,husband,MALE,YES,100/300,unknown,Low Risk,0,61,2,0,0,12541.05,3.499757298,1,0.205953454,10,7210,461,3,3523,1402.75,2000,1,14420,1,0,72100,0,50470,1
unknown,unknown,N,Minor Damage,Parked Car,JD,prof-specialty,other-relative,FEMALE,NO,250/500,unknown,Low Risk,0,59,2,0,0,-33378.95,6.989247312,1,0.065380208,8,1300,428,1,5609,1344.36,500,0,650,1,0,6500,7000000,4550,3
Ambulance,Front Collision,N,Total Loss,Multi-vehicle Collision,Masters,machine-op-inspct,not-in-family,MALE,unknown,100/300,unknown,Low Risk,0,38,2,29000,0,14231.05,3.999693275,1,0.226073368,17,13040,45,3,3198,1197.71,1000,1,13040,1,0,78240,0,52160,0
Police,unknown,N,Minor Damage,Vehicle Theft,JD,transport-moving,other-relative,FEMALE,unknown,100/300,unknown,Low Risk,0,29,2,62500,-66900,-33588.95,6.988727858,1,0.050370924,9,1240,136,1,1743,1203.24,500,0,620,1,0,6200,0,4340,0
Police,unknown,N,Minor Damage,Parked Car,Associate,priv-house-serv,unmarried,FEMALE,unknown,500/1000,YES,Low Risk,0,36,2,39600,-82400,-34008.95,2.331945271,1,0.087793431,0,560,216,1,8111,1152.4,1000,0,1680,1,0,6160,0,3920,3
Ambulance,Front Collision,N,Total Loss,Single Vehicle Collision,MD,farming-fishing,not-in-family,FEMALE,unknown,500/1000,unknown,Low Risk,0,48,2,0,-54000,14721.05,4.499615417,1,0.216974095,12,11700,278,1,5655,1142.62,2000,1,11700,1,0,76050,7000000,52650,0
Ambulance,Side Collision,N,Total Loss,Multi-vehicle Collision,MD,exec-managerial,unmarried,FEMALE,YES,500/1000,NO,Low Risk,0,48,2,49700,-59100,21651.05,4.499660147,1,0.239490020,20,13240,295,2,8376,1332.07,1000,1,13240,1,0,86060,0,59580,1
Fire,Front Collision,Y,Major Damage,Single Vehicle Collision,Masters,prof-specialty,not-in-family,FEMALE,NO,500/1000,YES,High Risk,1,30,2,47700,-59300,37601.05,3.499837820,1,0.781984251,3,10790,112,1,4513,1166.54,1000,1,21580,1,0,107900,0,75530,0
Fire,Rear Collision,N,Total Loss,Multi-vehicle Collision,Masters,prof-specialty,unmarried,FEMALE,YES,250/500,NO,Low Risk,0,34,2,38100,-31400,25701.05,3.499807491,1,0.199450559,18,18180,122,3,4169,1495.06,500,0,18180,1,0,99990,0,63630,0
Ambulance,Side Collision,N,Minor Damage,Multi-vehicle Collision,PhD,armed-forces,not-in-family,FEMALE,YES,500/1000,NO,Low Risk,0,29,2,71400,0,6711.05,7.998566565,1,0.180636782,4,11160,108,3,2638,1337.92,1000,0,5580,1,0,61380,0,44640,2
Fire,Rear Collision,Y,Major Damage,Single Vehicle Collision,Associate,craft-repair,unmarried,FEMALE,YES,250/500,unknown,Medium Risk,1,28,2,0,-26900,7431.05,3.499729959,1,0.658608464,18,12960,14,1,4590,1587.96,2000,1,12960,1,0,71280,0,45360,1
Ambulance,Front Collision,N,Minor Damage,Multi-vehicle Collision,High School,farming-fishing,unmarried,MALE,NO,500/1000,NO,Low Risk,0,45,0,0,-51100,6871.05,6.998906421,1,0.177124258,18,12800,298,3,8274,1362.29,1000,0,6400,1,0,64000,0,44800,0
Police,unknown,N,Trivial Damage,Parked Car,Masters,machine-op-inspct,husband,FEMALE,NO,250/500,unknown,Low Risk,0,46,0,0,-50000,-33308.95,6.989409985,1,0.044205074,7,660,276,1,3616,1448.84,500,0,660,1,0,5940,0,4620,1
unknown,unknown,N,Minor Damage,Parked Car,High School,other-service,not-in-family,MALE,NO,250/500,NO,Low Risk,0,37,1,75400,0,-32568.95,7.988077496,1,0.035598348,18,670,47,1,2486,1241.97,2000,0,670,1,0,6700,0,5360,0
Police,Rear Collision,N,Minor Damage,Multi-vehicle Collision,Associate,armed-forces,not-in-family,MALE,unknown,250/500,YES,Low Risk,0,42,0,0,0,-6088.95,3.999497551,1,0.145761383,23,11940,222,3,5731,1124.6,500,0,7960,1,0,51740,0,31840,0
Ambulance,Rear Collision,Y,Total Loss,Single Vehicle Collision,High School,machine-op-inspct,husband,MALE,YES,250/500,unknown,Low Risk,1,28,0,88800,0,2271.05,5.999104611,1,0.277094982,1,6700,119,1,826,1079.92,2000,1,6700,1,0,53600,0,40200,1
Other,Rear Collision,N,Total Loss,Multi-vehicle Collision,College,protective-serv,wife,MALE,unknown,250/500,YES,Low Risk,0,29,1,35100,-59900,-2998.95,6.998597475,1,0.346884239,15,4990,73,3,8016,1447.78,1000,1,4990,1,0,44910,0,34930,0
Fire,Front Collision,N,Major Damage,Multi-vehicle Collision,MD,transport-moving,wife,FEMALE,YES,250/500,unknown,Low Risk,0,31,0,0,-88300,-8328.95,3.999459532,1,0.251656812,2,11100,8,3,4395,1229.16,500,1,7400,1,0,48100,4000000,29600,2
unknown,unknown,N,Trivial Damage,Vehicle Theft,PhD,farming-fishing,unmarried,FEMALE,NO,100/300,NO,Low Risk,0,44,0,53900,0,-33658.95,3.497133497,1,0.074362118,3,610,294,1,8940,1226.49,1000,0,1220,1,0,6100,0,4270,1
Other,Rear Collision,N,Minor Damage,Single Vehicle Collision,MD,tech-support,wife,MALE,YES,100/300,unknown,Low Risk,0,46,1,0,-41300,9831.05,2.999811570,1,0.196570524,13,15920,324,1,1782,897.89,2000,0,15920,1,0,79600,6000000,47760,0
Ambulance,Front Collision,N,Minor Damage,Single Vehicle Collision,Masters,protective-serv,other-relative,MALE,YES,100/300,NO,Low Risk,0,34,1,0,0,21991.05,6.999182339,1,0.167444879,1,8560,155,1,8868,1706.79,500,0,8560,1,0,77040,0,59920,1
Fire,Rear Collision,N,Minor Damage,Single Vehicle Collision,PhD,prof-specialty,other-relative,FEMALE,unknown,250/500,YES,Low Risk,0,45,0,0,-45100,1901.05,3.499692470,1,0.253692805,16,11380,261,1,3495,1254.18,1000,1,11380,1,0,62590,0,39830,1
Other,Front Collision,N,Total Loss,Single Vehicle Collision,Masters,armed-forces,other-relative,FEMALE,NO,500/1000,YES,Low Risk,0,40,0,27000,-58900,21021.05,4.499656515,1,0.231604014,0,13100,245,1,4893,885.08,500,1,13100,1,0,85150,0,58950,1
unknown,unknown,N,Trivial Damage,Vehicle Theft,MD,tech-support,wife,MALE,NO,100/300,unknown,Low Risk,0,39,2,0,-31700,-34328.95,3.995560488,1,0.157125162,1,450,235,1,1478,1046.58,500,0,900,1,0,4950,4000000,3600,1
Fire,Side Collision,N,Major Damage,Multi-vehicle Collision,Associate,handlers-cleaners,not-in-family,MALE,YES,500/1000,unknown,Low Risk,0,36,2,72200,0,-2158.95,6.998630405,1,0.294710067,17,10220,53,3,4176,1712.68,2000,1,5110,1,0,51100,0,35770,0
Police,Side Collision,N,Minor Damage,Single Vehicle Collision,Masters,adm-clerical,not-in-family,FEMALE,unknown,500/1000,YES,Low Risk,0,54,2,29600,-22300,29271.05,3.999761919,1,0.334038148,13,16800,426,1,6289,1097.71,2000,1,16800,1,0,100800,0,67200,3
Police,Side Collision,N,Total Loss,Single Vehicle Collision,Masters,tech-support,husband,FEMALE,NO,250/500,YES,Low Risk,0,27,2,51100,0,19961.05,3.499788405,1,0.240780401,12,16540,111,1,2204,1363.77,500,1,16540,1,0,90970,4000000,57890,3
Police,Rear Collision,Y,Minor Damage,Single Vehicle Collision,JD,tech-support,other-relative,MALE,YES,100/300,unknown,Low Risk,1,26,1,0,-30300,21591.05,7.998924876,1,0.279878673,11,14880,86,1,5936,1382.88,500,1,7440,1,0,81840,7000000,59520,1
Ambulance,Front Collision,N,Major Damage,Single Vehicle Collision,Masters,craft-repair,not-in-family,MALE,NO,100/300,unknown,Medium Risk,0,46,0,0,0,5991.05,7.998543070,1,0.463937705,18,5490,296,1,7987,1141.35,1000,1,5490,1,0,54900,7000000,43920,2
Fire,Front Collision,Y,Total Loss,Single Vehicle Collision,JD,tech-support,husband,MALE,NO,500/1000,YES,High Risk,1,35,2,0,-51300,26551.05,3.999751876,1,0.719953390,17,8060,125,1,6807,1054.83,500,1,16120,1,0,88660,7000000,64480,3
Ambulance,Front Collision,N,Total Loss,Multi-vehicle Collision,JD,tech-support,unmarried,FEMALE,NO,100/300,unknown,Low Risk,0,34,1,0,-57700,-24428.95,5.997334518,1,0.095119616,22,2250,177,3,754,1057.77,2000,0,2250,1,0,18000,0,13500,1
